"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1882-83","11/21/1882 00:00:00","1","Leopold Damrosch","New York Symphony","Cincinnati, OH","Music Hall","Tour","Isidora Martinez,Madge Wickham","15264"
"1892-93","05/15/1893 20:00:00","1","Walter Damrosch","New York Symphony","St. Louis, MO","Exposition Music Hall","Tour","Lillian Evans Blauvelt","15255"
"1909-10","12/01/1909 14:00:00","1","Walter Damrosch","New York Symphony","Philadelphia, PA","Academy of Music","Tour","Isadora Duncan,Augustin Duncan","15193"
"1909-10","10/28/1909 20:15:00","1","Walter Damrosch","New York Symphony","Cincinnati, OH","Music Hall","Tour","Isadora Duncan","15184"
"1909-10","10/26/1909 20:30:00","1","Walter Damrosch","New York Symphony","St. Louis, MO","Coliseum","Tour","Isadora Duncan","15183"
"1909-10","10/15/1909 15:00:00","1","Walter Damrosch","New York Symphony","Grand Rapids, MI","Powers Theater","Tour","Isadora Duncan","15177"
"1909-10","10/14/1909 20:00:00","1","Walter Damrosch","New York Symphony","Detroit, MI","Light Guard Armory","Tour","Isadora Duncan","15176"
"1908-09","12/29/1908 00:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Isadora Duncan","15173"
"1908-09","12/15/1908 20:15:00","1","Walter Damrosch","New York Symphony","Brooklyn, NY","Brooklyn Academy of Music","Runout","Isadora Duncan","15168"
"1908-09","11/19/1908 20:15:00","1","Walter Damrosch","New York Symphony","Philadelphia, PA","Academy of Music","Tour","Isadora Duncan","15164"
"2025-26","09/18/2025 19:30:00","4","Gustavo Dudamel","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","","15063"
"2024-25","07/22/2025 18:00:00","1","Rafael Payare","New York Philharmonic","Vail, CO","Gerald R. Ford Amphitheater","Tour","Yekwon Sunwoo","15045"
"2024-25","06/27/2025 19:30:00","1","Esa-Pekka Salonen","New York Philharmonic","Seoul, KOREA","Seoul Arts Center (Concert Hall)","Tour","Krystian Zimerman","15052"
"2024-25","06/26/2025 19:30:00","1","Esa-Pekka Salonen","New York Philharmonic","Incheon, South Korea","Arts Center Incheon","Tour","Krystian Zimerman","15051"
"2024-25","02/06/2025 10:30:00","1","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concerts for Schools","Douglas Fitch,Justin Jay Hines,Missy Mazzoli","15068"
"2024-25","11/23/2024 19:30:00","1","Paavo Järvi","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Yefim Bronfman","15133"
"2024-25","10/05/2024 19:30:00","1","Manfred Honeck","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Víkingur Ólafsson","15057"
"2023-24","03/19/2024 19:30:00","1","Jaap van Zweden","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Conrad Tao","15001"
"2024-25","02/08/2025 14:00:00","1","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concert","Douglas Fitch,Justin Jay Hines,Missy Mazzoli","14960"
"2024-25","02/05/2025 10:30:00","2","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concerts for Schools","Douglas Fitch,Justin Jay Hines,Missy Mazzoli","14959"
"2024-25","12/07/2024 14:00:00","1","Keri-Lynn Wilson","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concert","Marcus Stevens,Dave Droxler","14951"
"2024-25","11/20/2024 19:30:00","2","Paavo Järvi","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Yefim Bronfman","14948"
"2023-24","10/07/2023 20:00:00","1","Jaap van Zweden","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Leif Ove Andsnes","14904"
"2022-23","07/05/2023 20:00:00","1","Jaap van Zweden","New York Philharmonic","Hong Kong, CHINA","Hong Kong Cultural Centre (Concert Hall)","Tour","","14866"
"2022-23","06/28/2023 19:30:00","1","Jaap van Zweden","New York Philharmonic","Taipei, TAIWAN","National Concert Hall","Tour","","14865"
"1939-40","08/11/1940 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11662"
"1939-40","08/07/1940 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11658"
"1939-40","08/05/1940 20:30:00","1","William Steinberg","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Josef Hofmann","11657"
"1939-40","07/28/1940 20:30:00","1","William Steinberg","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11651"
"1939-40","07/27/1940 20:30:00","1","William Steinberg","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Josef Lhevinne","11650"
"1939-40","04/25/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","919"
"1939-40","03/30/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","Vladimir Horowitz","2258"
"1939-40","03/28/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Antonio Brosa","509"
"1939-40","03/02/1940 11:00:00","1","Rudolph Ganz","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","St. Thomas' Choristers,Frances Sachs,Audience","6631"
"1939-40","02/15/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Vladimir Horowitz","81"
"1939-40","02/03/1940 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Alexander Brailowsky","1784"
"1939-40","01/10/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Sergei Rachmaninoff","6988"
"1939-40","12/28/1939 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Yehudi Menuhin","4457"
"1939-40","12/10/1939 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4423"
"1939-40","12/09/1939 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","6191"
"1938-39","08/10/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Harold Bauer","11861"
"1938-39","08/09/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11860"
"1938-39","08/07/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Jascha Heifetz","11858"
"1938-39","08/02/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Ezra Rachlin","11851"
"1938-39","07/28/1939 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11847"
"1938-39","07/18/1939 20:30:00","1","Frieder Weissmann","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11837"
"1938-39","07/04/1939 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","School of Music and Art","11825"
"1938-39","06/15/1939 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11669"
"1938-39","05/07/1939 16:00:00","1","Walter Damrosch","New York Philharmonic","Queens, NY","Hall of Music World's Fair Grounds","World's Fair","Oratorio Society of New York","1750"
"1938-39","04/30/1939 21:30:00","1","John Barbirolli","New York Philharmonic","Queens, NY","Hall of Music World's Fair Grounds","World's Fair","Josef Hofmann","4154"
"1938-39","04/27/1939 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","2349"
"1938-39","04/23/1939 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Adolf Busch","2345"
"1938-39","03/29/1939 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Adolf Busch","2779"
"1938-39","03/25/1939 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Joan Field","3649"
"1938-39","03/14/1939 20:15:00","1","John Barbirolli","New York Philharmonic","Hartford, CT","Bushnell Auditorium","Tour","Mishel Piastro","1894"
"1938-39","03/13/1939 20:30:00","1","John Barbirolli","New York Philharmonic","Boston, MA","Symphony Hall","Tour","Artur Schnabel","1885"
"1938-39","02/18/1939 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Audience","4328"
"1938-39","01/28/1939 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","The Salzedo Harp Ensemble,Carlos Salzedo,Audience","7333"
"1938-39","01/26/1939 20:45:00","2","Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Yehudi Menuhin","1021"
"1938-39","01/15/1939 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ernest Schelling","1010"
"1938-39","12/31/1938 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Mishel Piastro","180"
"1938-39","12/22/1938 20:45:00","3","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Art of Musical Russia","5840"
"1938-39","12/19/1938 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Pension Fund Benefit Concert","Josef Hofmann","5835"
"1938-39","12/18/1938 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Hortense Monath","5827"
"1938-39","12/08/1938 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5811"
"1938-39","11/12/1938 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","Joseph Schuster","7129"
"1938-39","11/10/1938 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5374"
"1938-39","10/29/1938 20:30:00","1","John Barbirolli","New York Philharmonic","Princeton, NJ","McCarter Theatre","Runout","Michel Nazzi","4936"
"1938-39","10/20/1938 20:45:00","3","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Michel Nazzi","4924"
"1937-38","08/21/1938 20:30:00","1","Eugene Ormandy","New York Philharmonic","Norwalk, CT","Silvermine Festival","Festival","Rosa Tentoni","5944"
"1937-38","08/12/1938 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","John Corigliano","12130"
"1937-38","07/27/1938 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12160"
"1937-38","07/26/1938 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12159"
"1937-38","07/23/1938 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Great Hall - City College","Stadium Concert","","12156"
"1937-38","07/22/1938 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Moriz Rosenthal","12155"
"1937-38","07/21/1938 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Moriz Rosenthal","12154"
"1937-38","07/01/1938 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12114"
"1937-38","06/23/1938 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Albert Spalding","11872"
"1937-38","04/30/1938 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","5472"
"1937-38","04/28/1938 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Marjorie Lawrence","3720"
"1937-38","04/10/1938 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Abram Chasins","3702"
"1937-38","03/14/1938 20:30:00","1","John Barbirolli","New York Philharmonic","Providence, RI","Metropolitan Theatre","Runout","Eugene List","3292"
"1937-38","01/20/1938 20:45:00","2","Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2434"
"1937-38","01/16/1938 15:00:00","1","Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Georges Enescu","2431"
"1937-38","01/09/1938 15:00:00","1","Mishel Piastro,Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Georges Enescu","2424"
"1937-38","01/05/1938 20:45:00","2","Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2413"
"1937-38","12/26/1937 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Amparo Iturbi","7219"
"1937-38","12/23/1937 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Amparo Iturbi","7214"
"1937-38","12/09/1937 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Isidor Achron","7189"
"1937-38","11/17/1937 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Artur Rubinstein","6762"
"1937-38","10/24/1937 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","14434"
"1936-37","08/08/1937 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Great Hall, City College of New York","Stadium Concert","","12210"
"1936-37","08/06/1937 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12208"
"1936-37","07/31/1937 20:30:00","1","George King Raudenbush","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12202"
"1936-37","07/21/1937 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12193"
"1936-37","07/18/1937 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12190"
"1936-37","07/11/1937 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12183"
"1936-37","06/23/1937 20:30:00","1","Vladimir Golschmann","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Albert Spalding","12162"
"1936-37","04/18/1937 15:00:00","1","Artur Rodzinski","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5110"
"1936-37","04/15/1937 20:45:00","2","Artur Rodzinski","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Paul Hindemith","5106"
"1936-37","02/06/1937 20:45:00","1","Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Beal Hober","6012"
"1936-37","02/04/1937 20:45:00","2","Georges Enescu","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Manuel Quiroga","4231"
"1936-37","01/16/1937 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Clarinet Ensemble of NYP,Horace Mann School for Boys Glee Club","5540"
"1936-37","12/15/1936 20:15:00","1","John Barbirolli","New York Philharmonic","Hartford, CT","Bushnell Auditorium","Runout","","1181"
"1935-36","08/05/1936 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12256"
"1935-36","07/29/1936 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","William Harms","12251"
"1935-36","07/26/1936 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12248"
"1935-36","07/22/1936 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12245"
"1935-36","07/08/1936 20:03:00","1","Paul Kerby","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12233"
"1935-36","07/06/1936 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","John Charles Thomas","12231"
"1935-36","06/25/1936 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Albert Spalding","12219"
"1935-36","04/04/1936 11:00:00","1","Theodore Cella,Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","","2984"
"1935-36","04/01/1936 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","6489"
"1935-36","03/16/1936 20:15:00","1","Arturo Toscanini","New York Philharmonic","Boston, MA","Symphony Hall","Tour","","6076"
"1935-36","03/05/1936 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rosa Tentoni","6059"
"1935-36","02/27/1936 20:45:00","2","Hans Lange","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5630"
"1935-36","02/20/1936 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","5623"
"1935-36","12/28/1935 20:45:00","2","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","John Amans","4346"
"1935-36","11/25/1935 00:00:00","1","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Special","Oratorio Society of New York","2192"
"1935-36","11/16/1935 20:45:00","2","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","","3888"
"1935-36","10/26/1935 20:45:00","2","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","","3478"
"1935-36","10/24/1935 20:45:00","2","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","1714"
"1934-35","07/31/1935 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12299"
"1934-35","07/07/1935 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12280"
"1934-35","07/06/1935 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12279"
"1934-35","06/26/1935 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Albert Spalding","12271"
"1934-35","03/24/1935 15:00:00","1","Werner Janssen","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","62"
"1934-35","03/12/1935 20:00:00","1","Gertrud Hrdliczka","Musicians from the New York Philharmonic","Manhattan, NY","The Town Hall","Special","","13822"
"1934-35","02/16/1935 00:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","","3671"
"1934-35","01/12/1935 20:45:00","1","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","895"
"1934-35","01/10/1935 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Artur Schnabel","6574"
"1934-35","12/13/1934 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Bronislaw Huberman","3947"
"1934-35","10/25/1934 20:45:00","3","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3132"
"1934-35","10/14/1934 15:00:00","1","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","7930"
"1934-35","10/13/1934 20:45:00","1","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","4831"
"1934-35","10/11/1934 20:45:00","2","Otto Klemperer","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3113"
"1933-34","08/05/1934 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12350"
"1933-34","08/02/1934 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12348"
"1933-34","07/23/1934 20:30:00","1","Eugene Ormandy","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12338"
"1933-34","07/02/1934 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12322"
"1933-34","06/26/1934 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12317"
"1933-34","04/28/1934 20:45:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","3643"
"1933-34","03/25/1934 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","1421"
"1933-34","03/14/1934 20:15:00","1","Arturo Toscanini","New York Philharmonic","Hartford, CT","Bushnell Auditorium","Runout","","1407"
"1933-34","02/15/1934 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rosa Tentoni","994"
"1933-34","01/25/1934 20:45:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","593"
"1933-34","01/18/1934 20:45:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Yehudi Menuhin","578"
"1933-34","12/16/1933 20:45:00","1","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","7110"
"1933-34","12/14/1933 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Jascha Heifetz","5369"
"1933-34","11/15/1933 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4928"
"1933-34","10/05/1933 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4493"
"1932-33","08/23/1933 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Josep Iturbi Bàguena","13127"
"1932-33","08/17/1933 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","13123"
"1932-33","08/14/1933 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","13121"
"1932-33","08/13/1933 20:30:00","1","Josep Iturbi Bàguena","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Josep Iturbi Bàguena","13120"
"1932-33","08/05/1933 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","13114"
"1932-33","07/17/1933 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12380"
"1932-33","07/02/1933 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Great Hall - City College","Stadium Concert","","12366"
"1932-33","04/23/1933 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Vladimir Horowitz","4676"
"1932-33","04/16/1933 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Maria Carreras","3282"
"1932-33","04/09/1933 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3263"
"1932-33","04/02/1933 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3249"
"1932-33","03/26/1933 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2858"
"1932-33","03/08/1933 20:30:00","1","Arturo Toscanini","New York Philharmonic","Baltimore, MD","Lyric Theatre","Tour","No Soloist","13499"
"1932-33","02/25/1933 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Ernest Schelling,Audience","1838"
"1932-33","02/11/1933 20:45:00","1","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Efrem Zimbalist","2408"
"1932-33","02/09/1933 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Zoltan Kurthy","2402"
"1932-33","01/14/1933 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Josef Hofmann","1994"
"1932-33","12/01/1932 20:45:00","2","Issay Dobrowen","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Mishel Piastro","6728"
"1932-33","11/27/1932 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Paul Althouse,Elsa Alsen","5677"
"1932-33","11/24/1932 20:45:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Mishel Piastro","6340"
"1932-33","11/17/1932 20:30:00","1","Arturo Toscanini","New York Philharmonic","Greenwich, CT","Pickwick Theatre","Runout","","6334"
"1932-33","11/06/1932 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","6312"
"1932-33","10/22/1932 20:45:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5913"
"1931-32","07/29/1932 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12429"
"1931-32","07/27/1932 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Great Hall - City College","Stadium Concert","","12427"
"1931-32","07/25/1932 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12425"
"1931-32","07/24/1932 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12424"
"1931-32","07/10/1932 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12406"
