"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1990-91","03/27/1991 20:00:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","United Nations General Assembly Hall","Special","New York Choral Artists,Marvis Martin,Paul Plishka,Maureen Forrester,Vinson Cole","7450"
"1989-90","05/14/1990 20:30:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Private Concert","Yefim Bronfman","7170"
"1989-90","05/03/1990 20:00:00","4","Yuri Temirkanov","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","John Lill","7164"
"1989-90","03/22/1990 20:00:00","4","Christof Perick","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Ida Haendel","5849"
"1989-90","09/27/1989 20:00:00","3","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Murray Perahia","2497"
"1989-90","09/26/1989 19:30:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Murray Perahia","2492"
"1989-90","09/13/1989 19:00:00","1","Zubin Mehta","New York Philharmonic","Tokyo, JAPAN","Suntory Hall","Tour","Midori","3856"
"1989-90","09/06/1989 20:00:00","1","Zubin Mehta","New York Philharmonic","Seoul, KOREA","Seoul Arts Center (Concert Hall)","Tour","Glenn Dicterow","3831"
"1989-90","09/03/1989 20:00:00","1","Zubin Mehta","New York Philharmonic","Taipei, TAIWAN","National Theatre","Tour","Midori","3822"
"1988-89","08/31/1989 20:00:00","1","Zubin Mehta","New York Philharmonic","Hong Kong, CHINA","Sha Tin Town Hall","Tour","Glenn Dicterow","6853"
"1988-89","05/15/1989 20:00:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Vladimir Feltsman","6278"
"1988-89","11/10/1988 20:00:00","4","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Jeffrey Siegel","2933"
"1988-89","11/03/1988 20:00:00","4","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Joaquin Achucarro","2923"
"1987-88","11/04/1987 20:00:00","1","Erich Leinsdorf","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Pension Fund Benefit Concert","Nathan Milstein","2033"
"1986-87","05/05/1987 20:30:00","1","Andrew Davis","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Emanuel Ax","30"
"1986-87","04/28/1987 13:30:00","1","Andrew Davis","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Joint Concert","All-City High School Orchestra,Ahmed Abdullah,Robert Bond,Maria Constancia,Don Davis,Kobla Mensa Dente,Joanna Featherstone,Roberto Lorca,Kuni Ochai,Paco Ortiz,Carlota Santana,Thad Wheeler","106"
"1986-87","04/23/1987 20:00:00","3","Andrew Davis","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Emanuel Ax","3072"
"1986-87","03/28/1987 14:00:00","2","Felix Kruglikov","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Young People's Concert","Daniel J. Windham","3136"
"1986-87","02/28/1987 14:00:00","2","Leonard Slatkin","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Young People's Concert","","6172"
"1986-87","12/04/1986 20:00:00","3","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Murray Perahia","1017"
"1986-87","09/05/1986 20:00:00","2","Leonard Bernstein,Michael Barrett,Michael Morgan,Michael Stern","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","","2715"
"1985-86","07/05/1986 20:00:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","The Great Lawn, Central Park","Parks","New York Choral Artists,Itzhak Perlman,Sherrill Milnes,Leona Mitchell,Yo-Yo Ma,Angela Lansbury,Kirk Douglas,Marilyn Horne,Placido Domingo,United States Marine Band,United States Army Herald Trumpets","945"
"1985-86","01/25/1986 14:00:00","2","Richard Fletcher","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Young People's Concert","","878"
"1985-86","10/31/1985 20:00:00","4","Riccardo Chailly","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Yuzuko Horigome","6218"
"1984-85","08/27/1985 20:00:00","2","Zubin Mehta","New York Philharmonic","Brooklyn, NY,Bronx, NY","Prospect Park,Van Cortlandt Park","Parks","Neil Shicoff","4466"
"1984-85","06/29/1985 21:00:00","1","Zubin Mehta","New York Philharmonic","Tel Aviv, ISRAEL","Hayarkon Park","Tour","Itzhak Perlman","4896"
"1984-85","05/20/1985 20:30:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Claudio Arrau","5636"
"1984-85","04/08/1985 20:00:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Abyssinian Baptist Church","Subscription Season","Jeanne Baxtresser,Marvis Martin,Midori,Abyssinian Sanctuary Choir","1243"
"1984-85","02/13/1985 20:00:00","3","Jiri Belohlavek","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Claudio Arrau","7320"
"1984-85","01/17/1985 20:00:00","3","Klaus Tennstedt","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Lorne Munroe","2986"
"1984-85","01/03/1985 20:00:00","4","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Gidon Kremer","2980"
"1984-85","11/01/1984 20:00:00","3","Andrew Davis","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Glenn Dicterow","2264"
"1984-85","09/18/1984 18:30:00","1","Zubin Mehta","New York Philharmonic","Mumbai, INDIA (BOMBAY)","Shanmukhananda Hall","Tour","Gavin Martin","2312"
"1984-85","09/16/1984 18:30:00","1","Zubin Mehta","New York Philharmonic","Mumbai, INDIA (BOMBAY)","Shanmukhananda Hall","Tour","","2304"
"1984-85","09/10/1984 20:15:00","1","Zubin Mehta","New York Philharmonic","Singapore","Victoria Hall","Tour","Lorne Munroe","2287"
"1983-84","08/05/1984 20:00:00","4","Stanisław Skrowaczewski","New York Philharmonic","Valhalla, NY,Manhattan, NY,Brooklyn, NY,Bronx, NY","Westchester Community College,The Great Lawn, Central Park,Prospect Park,Van Cortlandt Park","Parks","","3535"
"1983-84","05/06/1984 19:00:00","1","David Shallon","Members of NY Philharmonic","Manhattan, NY","Avery Fisher Hall","Special","András Schiff,Anne Leek","11781"
"1983-84","03/29/1984 20:00:00","3","Michael Tilson Thomas","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Alexis Weissenberg","3428"
"1983-84","03/08/1984 20:00:00","3","Semyon Bychkov","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Alexander Toradze","3418"
"1983-84","09/22/1983 20:00:00","4","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","André Watts","12"
"1983-84","09/14/1983 20:00:00","1","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Rudolf Serkin","5"
"1983-84","09/15/1983 20:00:00","4","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","","7"
"1982-83","05/19/1983 20:00:00","3","Andrew Davis","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Lorne Munroe","3850"
"1982-83","04/18/1983 13:30:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Joint Concert","All-City High School Orchestra","3883"
"1982-83","03/17/1983 20:00:00","3","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Alicia de Larrocha","2508"
"1982-83","03/03/1983 20:00:00","3","Christoph von Dohnanyi","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Seymour Lipkin","2503"
"1982-83","02/24/1983 20:00:00","3","Christoph von Dohnanyi","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Bella Mikhaylovna Davidovich","5534"
"1982-83","02/02/1983 19:30:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Emanuel Ax","5512"
"1981-82","07/29/1982 00:00:00","1","Zubin Mehta","New York Philharmonic","Washington, DC","White House - Rose Garden","Runout","Glenn Dicterow","7202"
"1981-82","05/22/1982 13:00:00","1","Erich Leinsdorf","New York Philharmonic","Charleston, SC","Gaillard Municipal Auditorium","Festival","Glenn Dicterow","5926"
"1981-82","05/11/1982 20:30:00","1","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Rudolf Firkusny","5916"
"1981-82","04/29/1982 20:00:00","3","Zubin Mehta","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Jorge Bolet","1520"
"1981-82","03/18/1982 20:00:00","3","Rafael Kubelík","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","","4556"
